Total Hist,Total CDF,Random Hist,Random CDF,Surface Hist,Surface CDF,Internal Hist,Internal CDF
0,0.9,0,0.9,0,0.71,0,0.9
0,0.78,0,0.78,0,0.97,0,0.78
0,0.81,0,0.81,0,0.93,0,0.81
0,0.96,0,0.96,0,0.95,0,0.96
0,0.94,0,0.94,0,1.01,0,0.94
0,0.89,0,0.89,0,0.72,0,0.89
0,0.96,0,0.96,0,1.03,0,0.96
0,0.9,0,0.9,0,0.94,0,0.9
0,0.94,0,0.94,0,1,0,0.94
0,1.03,0,1.03,0,0.8,0,1.03
0,0.73,0,0.73,0,0.83,0,0.73
0,0.45,0,0.45,0,0.87,0,0.45
0,1.1,0,1.1,0,0.87,0,1.1
0,1.01,0,1.01,0,0.93,0,1.01
0,0.3,0,0.3,0,0.85,0,0.3
0,0.99,0,0.99,0,0.65,0,0.99
0,0.95,0,0.95,0.71,1.12,0,0.95
0,0.48,0,0.48,0.97,1.13,0,0.48
0,0.26,0,0.26,0.93,0.64,0,0.26
0,0.34,0,0.34,0.95,0.87,0,0.34
0,0.65,0,0.65,1.01,1,0,0.65
0,0.81,0,0.81,0.72,1.06,0,0.81
0,0.58,0,0.58,1.03,0.88,0.9,0.58
0,1.11,0,1.11,0.94,0.73,0.78,1.11
0,0.17,0,0.17,1,NA,0.81,0.17
0,0.85,0,0.85,0.8,0.73,0.96,0.85
0,0.62,0,0.62,0.83,1.04,0.94,0.62
0,0.36,0,0.36,0.87,0.94,0.89,0.36
0,0.9,0,0.9,0.87,0.9,0.96,0.9
0,0.82,0,0.82,0.93,0.98,0.9,0.82
0,0.89,0.9,0.89,0.85,1.08,0.94,0.89
0,0.89,0.78,0.89,0.65,0.84,1.03,0.89
0,0.88,0.81,0.88,1.12,0.54,0.73,0.88
0,1.01,0.96,1.01,1.13,1.09,0.45,1.01
0,0.76,0.94,0.76,0.64,0.39,1.1,0.76
0,0.6,0.89,0.6,0.87,0.74,1.01,0.6
0,1,0.96,1,1,0.9,0.3,1
0,0.77,0.9,0.77,1.06,0.89,0.99,0.77
0.9,0.99,0.94,0.99,0.88,0.98,0.95,0.99
0.78,0.99,1.03,0.99,0.73,0.93,0.48,0.99
0.81,0.4,0.73,0.4,NA,0.71,0.26,0.4
0.96,0.93,0.45,0.93,0.73,,0.34,0.93
0.94,0.48,1.1,0.48,1.04,,0.65,0.48
0.89,0.74,1.01,0.74,0.94,,0.81,0.74
0.96,0.86,0.3,0.86,0.9,,0.58,0.86
0.9,0.85,0.99,0.85,0.98,,1.11,0.85
0.94,0.92,0.95,0.92,1.08,,0.17,0.92
1.03,0.78,0.48,0.78,0.84,,0.85,0.78
0.73,0.91,0.26,0.91,0.54,,0.62,0.91
0.45,0.71,0.34,0.97,1.09,,0.36,
1.1,0.97,0.65,0.93,0.39,,0.9,
1.01,0.93,0.81,0.94,0.74,,0.82,
0.3,0.95,0.58,0.87,0.9,,0.89,
0.99,1.01,1.11,0.85,0.89,,0.89,
0.95,0.72,0.17,0.64,0.98,,0.88,
0.48,1.03,0.85,1.06,0.93,,1.01,
0.26,0.94,0.62,0.88,0.71,,0.76,
0.34,1,0.36,0.73,,,0.6,
0.65,0.8,0.9,NA,,,1,
0.81,0.83,0.82,0.98,,,0.77,
0.58,0.87,0.89,0.84,,,0.99,
1.11,0.87,0.89,0.54,,,0.99,
0.17,0.93,0.88,0.9,,,0.4,
0.85,0.85,1.01,0.98,,,0.93,
0.62,0.65,0.76,0.71,,,0.48,
0.36,1.12,0.6,,,,0.74,
0.9,1.13,1,,,,0.86,
0.82,0.64,0.77,,,,0.85,
0.89,0.87,0.99,,,,0.92,
0.89,1,0.99,,,,0.78,
0.88,1.06,0.4,,,,0.91,
1.01,0.88,0.93,,,,,
0.76,0.73,0.48,,,,,
0.6,NA,0.74,,,,,
1,0.73,0.86,,,,,
0.77,1.04,0.85,,,,,
0.99,0.94,0.92,,,,,
0.99,0.9,0.78,,,,,
0.4,0.98,0.91,,,,,
0.93,1.08,0.97,,,,,
0.48,0.84,0.93,,,,,
0.74,0.54,0.94,,,,,
0.86,1.09,0.87,,,,,
0.85,0.39,0.85,,,,,
0.92,0.74,0.64,,,,,
0.78,0.9,1.06,,,,,
0.91,0.89,0.88,,,,,
0.71,0.98,0.73,,,,,
0.97,0.93,NA,,,,,
0.93,0.71,0.98,,,,,
0.95,,0.84,,,,,
1.01,,0.54,,,,,
0.72,,0.9,,,,,
1.03,,0.98,,,,,
0.94,,0.71,,,,,
1,,,,,,,
0.8,,,,,,,
0.83,,,,,,,
0.87,,,,,,,
0.87,,,,,,,
0.93,,,,,,,
0.85,,,,,,,
0.65,,,,,,,
1.12,,,,,,,
1.13,,,,,,,
0.64,,,,,,,
0.87,,,,,,,
1,,,,,,,
1.06,,,,,,,
0.88,,,,,,,
0.73,,,,,,,
NA,,,,,,,
0.73,,,,,,,
1.04,,,,,,,
0.94,,,,,,,
0.9,,,,,,,
0.98,,,,,,,
1.08,,,,,,,
0.84,,,,,,,
0.54,,,,,,,
1.09,,,,,,,
0.39,,,,,,,
0.74,,,,,,,
0.9,,,,,,,
0.89,,,,,,,
0.98,,,,,,,
0.93,,,,,,,
0.71,,,,,,,
